text,formula_phrases
"Бинарная переменная xij равна 1, если дуга(i, j) включена в маршрут.","Бинарная переменная xij, дуга(i, j)"
"Переменная yk ∈{0, 1} принимает значение 1, если проект k выбран для реализации, и 0 иначе.","Переменная yk, проект k"
"Условие zi − zj+ nxij ≤ n − 1 гарантирует отсутствие подциклов в маршруте, где zi «порядковый номер вершины i.","Условие zi − zj+ nxij ≤ n − 1, порядковый номер вершины i"
"Бинарная переменная yj= 1, если склад j построен.","Бинарная переменная yj, склад j"
"Если переменная xk входит в целевую функцию с положительным коэффициентом, то увеличение xk увеличивает значение целевой функции.","переменная xk, целевую функцию"
"Переменная yk принимает значение 0, если ограничение k неактивно в задаче линейного программирования.","Переменная yk, ограничение k"
"Переменная xi принимает значение 0, если ресурс i не используется в оптимальном решении.","Переменная xi, ресурс i"
"Двойственная переменная λk принимает положительное значение тогда и только тогда, когда ограничение gk(x) ≤ 0.","Двойственная переменная λk, ограничение gk(x) ≤ 0"
"Двойственная переменная λk, связанная с ограничением k, и равна нулю, если это ограничение не активно.","Двойственная переменная λk, ограничение k"
В задаче линейного программирования переменная xi принимает значение 1 если ресурс i полностью используется.,"переменная xi, ресурс i"
Любой допустимый вектор xj минимизирует линейную функцию цели при выполнении ограничений.,"допустимый вектор xj, линейную функцию цели"
"Если сумма ∑(αixi) превышает порог C, то переменная y должна удовлетворять дополнительному ограничению y⩾ max(x1,..., xn).","сумма ∑(αixi), порог C, переменная y, ограничение y⩾ max(x1,..., xn)"
Ограничение f(x) ≤ g(y) активируется только когда выполняется хотя бы одно из условий: h(z) ≥ k или ||w||2 ≤ ϵ.,"Ограничение f(x) ≤ g(y), условие h(z) ≥ k, условие ||w||2 ≤ ϵ"
"Ограничение ||Ax − b||2 ≤ δ становится строгим ||Ax − b||2 ≤ δ/2), если скалярное произведение векторов p и q превышает заданный порог.","Ограничение ||Ax − b||2 ≤ δ, скалярное произведение векторов p и q"
"Если норма ||x||∞ превышает M, то хотя бы одна компонента вектора xi удовлетворяет xi ≥ M","норма ||x||∞, компонента вектора xi"
"Если любая функция цели неограничена сверху, то её значение стремится к бесконечности при некотором допустимом векторе x.","функция цели, допустимом векторе x"
"Переменная yk принимает значение 1, если временный параметр z лежит в интервале[a, b].","Переменная yk, временный параметр z"
"Линейная комбинация ax+ βy достигает минимума, когда оба коэффициента a, β положительны, а переменные x, y связаны соотношением x= 2y.","Линейная комбинация ax+ βy, коэффициенты a, β, переменные x, y"
"Допустимое множество решений λ пусто, если скалярное произведение cT x не ограничено сверху при Ax ≤ b.","Допустимое множество решений λ, скалярное произведение cT x, условие Ax ≤ b"
"Если существует такой вектор x, что функция цели f(x) принимает отрицательное значение, то задача не является тривиальной.","вектор x, функция цели f(x)"
Ограничение x+2y ≤ 10 становится активным только при выполнении условия z ≥ 5 или ||x||1 ≤ 3.,"Ограничение x+2y ≤ 10, условие z ≥ 5, условие ||x||1 ≤ 3"
"Если квадратичная форма xT Qx ≥ α, то переменная y обязана удовлетворять неравенству y ≤ min(x1, x2).","квадратичная форма xT Qx, переменная y"
"Множество допустимых решений для переменной θ оказывается пустым, если двойственная задача не имеет конечного оптимума при заданных ограничениях ATλ ≥ c.","Множество допустимых решений для переменной θ, двойственная задача, ограничения ATλ ≥ c"
"Ограничение f(x, y) ≤ 0 включается в модель только в случае, когда ∑n i=1 βixi ≥ γ или ||ω||∞ ≤ δ","Ограничение f(x, y) ≤ 0, сумма ∑n i=1 βixi ≥ γ, условие ||ω||∞ ≤ δ"
"Условие xT Qx ≤ r включается в модель, если выполняется хотя бы одно из условий: ||v||1 ≤ η или cT x ≥ d.","Условие xT Qx ≤ r, условие ||v||1 ≤ η, условие cT x ≥ d"
"Функция f(x)= max(cT x, dT x) включается в целевую функцию только если ∥x∥2 ≥ R, иначе используется f(x)= 1 2 x T Qx.","Функция f(x)= max(cT x, dT x), условие ∥x∥2 ≥ R, функция f(x)= 1 2 x T Qx"
"Ограничение g(x) ≤ 0 заменяется на g(x)+ λ∥x∥1 ≤ 0, если dist(x, X) больше d, где X — допустимое множество.","Ограничение g(x) ≤ 0, выражение g(x)+ λ∥x∥1 ≤ 0"
"Если скалярное произведение ⟨a, x⟩ больше b верно, то задача переключается с min cT x на min∥x∥22 с дополнительным ограничением Dx ≤ h.","скалярное произведение ⟨a, x⟩, задача min cT x, задача min∥x∥22, ограничение Dx ≤ h"
"Условие \|xi − xj\| ≤ ϵ заменяется на квадратичное 1 2(xi − xj)2 ≤ ϵ2, если sign(xi) ̸= sign(xj).","Условие \|xi − xj\| ≤ ϵ, квадратичное 1 2(xi − xj)2 ≤ ϵ2"
"Если xi ∈ 0, 1 и ∑n i=1 xi ≥ 3, то добавляется дополнительное ограничение ∥Ax − b∥1 ≤ δ.","переменная xi, ограничение ∥Ax − b∥1 ≤ δ"
Ограничение Gmimj \|xi−xj\|2 ≤ Emax линеаризуется в Gmimj r02 (\|xi − xj\|2 − r0) ≤ Emax при \|xi − xj\| < r0,"Ограничение Gmimj \|xi−xj\|2 ≤ Emax, линеаризация"
"Условие[X, P]= iℏ заменяется на \|x ◦ p − p ◦ x\|2 ≤ ϵ при ℏeff= \|x\|n1\|2p\|1< ℏ0.","Условие[X, P]= iℏ, выражение \|x ◦ p − p ◦ x\|2 ≤ ϵ"
"Если скалярное произведение ⟨x, y⟩ меньше −α активируется либо \|x\| ≥ β, либо \|y\| ≥ β, но не оба одновременно","скалярное произведение ⟨x, y⟩, условия \|x\| ≥ β, \|y\| ≥ β"
"Линейная комбинация αx+βy достигает своего минимального значения только в случае, когда оба коэффициента строго положительны α> 0, β> 0 и при этом переменные связаны точным соотношением x= β 2α y.","Линейная комбинация αx+βy, коэффициенты α> 0, β> 0, соотношение x= β 2α y"
"Двойственная переменная λk, соответствующая ограничению gk(x) ≤ 0 в задаче выпуклой оптимизации, принимает строго положительное значение(λk> 0) исключительно при активном ограничении gk(x)= 0.","Двойственная переменная λk, ограничение gk(x) ≤ 0, активное ограничение gk(x)= 0"
"При приближении к границе ∂D(когда dist(x, ∂D)< δ) заменяем условие Неймана ∂f ∂n= 0 на условие Дирихле f\|∂D= g.","условие Неймана ∂f ∂n= 0, условие Дирихле f\|∂D= g"
"Каждому целому n ∈[1, N] ставим в соответствие точку(xn, yn) по правилу: xn= n · cosθ, yn= n · sinθ.","целому n ∈[1, N], точку(xn, yn)"
"Если градиент функции ∇f(x) равен нулю, а матрица Гессе H(x) положительно определена, то точка x является локальным минимумом.","градиент функции ∇f(x), матрица Гессе H(x), точка x"
"Оптимальное значение целевой функции f(x) достигается в крайней точке допустимого множества, если f(x) вогнута, а ограничения образуют выпуклый многогранник","Оптимальное значение целевой функции f(x), выпуклый многогранник"
"Двойственное ограничение λ ≥ 0 выполняется тогда и только тогда, когда прямое ограничение g(x) ≤ 0 активно и x ≤ 0.","Двойственное ограничение λ ≥ 0, прямое ограничение g(x) ≤ 0"
"Неравенство Коши-Шварца \|⟨u, v⟩\| ≤ \|u\| · \|v\| обращается в равенство лишь при линейной зависимости вектора u и вектора v.","Неравенство Коши-Шварца, вектора u и v"
"Седловая точка(x∗, λ∗) функции Лагранжа существует, если выполнены условия Каруша-Куна-Таккера для задачи выпуклой оптимизации.","Седловая точка(x∗, λ∗), условия Каруша-Куна-Таккера"
"Если субградиент ∂f(x) содержит нулевой вектор, то x является точкой минимума выпуклой функции f().","субградиент ∂f(x), точка минимума выпуклой функции f()"
"Если квадратичная форма 1 2 x T Qx строго выпукла, то задача min∥Ax− b∥22 имеет единственное решение при условии Cx ≤ d.","квадратичная форма 1 2 x T Qx, задача min∥Ax− b∥22, условие Cx ≤ d"
"Бинарная переменная uij принимает значение 1, если расстояние между точками pi и pj удовлетворяет ∥pi −pj ∥2 ≤ r.","Бинарная переменная uij, расстояние между точками pi и pj"
"Ограничение ∑n k=1 ckxk ≥ b становится активным, когда двойственная переменная λ превышает порог λ0 или выполняется Ax= 1.","Ограничение ∑n k=1 ckxk ≥ b, двойственная переменная λ"
"Если градиент ∇f(x) ортогонален множеству M, то точка x∗ является условным минимумом при ограничениях gi(x) ≤ 0, i= 1,..., m.","градиент ∇f(x), точка x∗, ограничения gi(x) ≤ 0"
"Переменная αt переключается с режима min ft(x) на max gt(y), когда параметр t пересекает границу t0 или нарушается условие ⟨wt, v⟩ ≥ δ.","Переменная αt, режим min ft(x), условие ⟨wt, v⟩ ≥ δ"
"Переменная δt активирует ограничение∑k i=1 αixi ≤ β, когда временной параметр t превышает порог t0 и выполняется \|\|v\|\|2 ≥ ϵ.","Переменная δt, ограничение∑k i=1 αixi ≤ β, временной параметр t"
"Бинарный индикатор zij принимает значение 1, если расстояние между узлом i и узлом j удовлетворяет ∥pi − pj ∥1 ≤ d, при этом дуга(i, j) существует в графе.","Бинарный индикатор zij, расстояние между узлом i и узлом j"
"Если коэффициент γk в целевой функции max∑γkyk отрицателен, то увеличение yk уменьшает итоговое значение целевой функции.","коэффициент γk, целевая функция max∑γkyk"
"Ограничение ⟨w, x⟩+ b ≥ 0 становится неактивным, когда соответствующая двойственная переменная µ равна нулю или когда x лежит строго внутри полупространства.","Ограничение ⟨w, x⟩+ b ≥ 0, двойственная переменная µ"
"Квадратичная форма 1 2 x T Hx является строго выпуклой, если все собственные значения λi(H) матрицы положительны и выполняется det(H) ̸= 0.","Квадратичная форма 1 2 x T Hx, собственные значения λi(H)"
Квадратичная функция 1 2 u T T u выпукла при λi(T) ≥ 0 и det(T) ̸= 0.,"Квадратичная функция 1 2 u T T u, собственные значения λi(T)"
В точке условного минимума x∗ градиент ортогонален касательному пространству при неотрицательных значениях x∗.,"точка условного минимума x∗, градиент"
"Если ck> 0 в задаче минимизации линейной целевой функции min cT x, то снижение xk улучшает целевую функцию.","коэффициент ck, целевая функция min cT x"
Ограничение xT Ax ≤ b выключается при µ= 0 или x в ядре оператора.,"Ограничение xT Ax ≤ b, ядро оператора"
Переключатель ητ активирует ∑r j=1 θj sj ≤ ν при τ> τ3 и ∥v∥2 ≥ ξ.,"Переключатель ητ, условие τ> τ3"
"Индикатор связи vij равен 1 если ∥pi − pj ∥1 ≤ d и существует дуга(i, j).","Индикатор связи vij, дуга(i, j)"
"Ограничение ⟨w, x⟩+ b ≥ 0 неактивно при µ= 0 или z внутри.","Ограничение ⟨w, x⟩+ b ≥ 0, двойственная переменная µ"
"Матрица Гессе ∇2f(x) положительно полуопределена для всех x, если функция f(x)- выпуклая.","Матрица Гессе ∇2f(x), функция f(x)"
"Если норма разности \|xk−x∗\| убывает со скоростью геометрической прогрессии, то последовательность xk сходится линейно.","норма разности \|xk−x∗\|, последовательность xk"
Активатор δt включает ∑αixi ≤ β при t> t0 и большой норме v.,"Активатор δt, условие t> t0"
"Если ck> 0 в min cT x, то уменьшение xk улучшает целевую функцию.","коэффициент ck, целевая функция min cT x"
Форма 1 2 x T Hx строго выпукла при λi(H)> 0.,"Форма 1 2 x T Hx, собственные значения λi(H)"
Контроллер θt включает ограничение ∑s i=1 ιiwi ≤ π при t> t4 и ∥u∥1 ≥ ζ.,"Контроллер θt, условие t> t4"
"При условии Слейтера существует gi(x)< 0, множество λ\|λ ≥ 0 ограничено.","условие Слейтера, множество λ\|λ ≥ 0"
"Если субдифференциал ∂f(x) равен g\|f(y) ≥ f(x)+ gT(y − x) выпуклой функции, то он является выпуклым компактом.","субдифференциал ∂f(x), выпуклый компакт"
"Для задачи min 1 2 x T Qx+cT x при Ax ≤ b, точка(x∗, λ∗) удовлетворяет Qx∗+ ATλ∗+ c= 0.","точка(x∗, λ∗), условие Qx∗+ ATλ∗+ c= 0"
Метод Ньютона xk+1= xk−[∇2f(xk)]−1∇f(xk) имеет квадратичную сходимость при ∇2f(x∗) ≻ 0.,"Метод Ньютона, матрица Гессе ∇2f(xk)"
"Ограничение ⟨w, x⟩+ b ≥ 0 неактивно при µ= 0 или внутренней точке x.","Ограничение ⟨w, x⟩+ b ≥ 0, двойственная переменная µ"
"Флаг ucd равен 1, если ∥cd−cc∥2 ≤ f и соединение(c, d) установлено.","Флаг ucd, соединение(c, d)"
"Квадратичная форма 1 2 x T Hx является строго выпуклой, если λi(H)> 0 и выполняется det(H) ̸= 0.","Квадратичная форма 1 2 x T Hx, собственные значения λi(H)"
Условие ∥Ax − b∥2 ≤ c деактивируется при ν= 0 или x внутри допустимой области.,"Условие ∥Ax − b∥2 ≤ c, допустимая область"
"Для задачи min 1 2 x T Qx+ cT x при Ax ≤ b, точка(x∗, λ∗) выполняется Qx∗+ ATλ∗+ c= 0.","точка(x∗, λ∗), условие Qx∗+ ATλ∗+ c= 0"
"В задаче линейного программирования, если переменная xj равна 0, то она не участвует в решении.","переменная xj, решение"
Квадратичная функция 1 2 y T V y выпукла при λi(V) ≥ 0 и det(V) ̸= 0.,"Квадратичная функция 1 2 y T V y, собственные значения λi(V)"
"Индикатор rab равен 1, если ∥ab − ba∥1 ≤ k и канал(a, b) открыт.","Индикатор rab, канал(a, b)"
Переменная µj равна 0 если ограничение ajT x ≤ bj неактивно.,"Переменная µj, ограничение ajT x ≤ bj"
Градиент ∇f(x∗) ортогонален TxM в точке условного минимума x∗.,"градиент ∇f(x∗), касательное пространство TxM"
"Функция f(x) выпукла тогда и только тогда, когда её матрица Гессе ∇2f(x) положительно полуопределена для всех x ∈ domf.","Функция f(x), матрица Гессе ∇2f(x)"
Минимум cT x достигается при Ax= b и выполнении условий дополнительной нежесткости.,"Минимум cT x, условия дополнительной нежесткости"
"Точка x∗ является глобальным минимумом выпуклой функции f(x), если выполняется ∇f(x∗)= 0 и ∇2f(x) ≻ 0 для всех x ∈ Bϵ(x∗).","точка x∗, градиент ∇f(x∗)"
"Функция f(x) равна 1 2 x ⊤Qx+ c⊤x строго выпукла, если Q ≻ 0.","Функция f(x), матрица Q ≻ 0"
Активатор δt включает ограничение ∑αixi ≤ β при t> t0.,"Активатор δt, условие t> t0"
vij= 1 если ∥pi −pj ∥1 ≤ d и есть соединение.,"vij, соединение"
