text,formula_phrases
Ограничение yT Ry ≤ g деактивируется при θ= 0 или y в строгой внутренности множества.,"Ограничение yT Ry ≤ g, строгая внутренность множества"
"При νk> 0 и min∑νkwk, уменьшение pk минимизирует целевую функцию.","νk, целевая функция min∑νkwk"
Условие ∥Dx − f ∥2 ≤ h неактивно при двойственной переменной η равна 0 или x в относительном ядре.,"Условие ∥Dx − f ∥2 ≤ h, двойственная переменная η"
Форма 1 2 v T Uv строго выпукла при λi(U)> 0 и tr(U)> 0.,"Форма 1 2 v T Uv, собственные значения λi(U)"
"Маркер tcd равен 1, если ∥cd − dc∥1 ≤ n и соединение(c, d) активно.","Маркер tcd, соединение(c, d)"
δt активирует ограничение ∑αixi ≤ β при t> t0 и ∥v∥2 ≥ ϵ.,"δt, условие t> t0"
В точке x∗ условного минимума ∇f(x∗) вектор β ортогонален TxM.,"точка x∗, вектор β"
Форма 1 2 x T Hx строго выпукла при λi(H)> 0c и ck> 0.,"Форма 1 2 x T Hx, собственные значения λi(H)"
Ограничение f(x) ≤ g(y) активируется при h(z)> k или ∥w∥2< ϵ.,"Ограничение f(x) ≤ g(y), условие h(z)> k"
Регулятор ξτ активирует ограничение ∑u i=1 ζiqi ≤ χ при τ> τ6 и ∥u∥∞ ≥ ψ.,"Регулятор ξτ, условие τ> τ6"
"zij равна 1 при ∥pi −pj ∥2 ≤ d и наличии дуги(i, j).","zij, дуга(i, j)"
"Для графа G=(V, E) ограничение ∑(i,j)∈E xij ≤ C усиливается до max(i,j)∈E xij ≤ C/\|V \|, когда граф содержит циклы длины 3.","ограничение ∑(i,j)∈E xij ≤ C, циклы длины 3"
Переключатель αt меняет на max gt(y) при t> t0.,"Переключатель αt, условие t> t0"
"Переменная βt переключается с min ft(x) на max gt(y) при t> t0 или ⟨w, v⟩< δ.","Переменная βt, условие ⟨w, v⟩< δ"
"Квадратичная форма 1 2 x T Qx является строго выпуклой, когда все собственные значения λi(Q) положительны.","Квадратичная форма 1 2 x T Qx, собственные значения λi(Q)"
"Ограничение ∏3 i=1 xi ≤ 1 активируется только когда ∑3 i=1 I(xi> 0) ≥ 2, где I- индикаторная функция.","Ограничение ∏3 i=1 xi ≤ 1, индикаторная функция I"
Коэффициент трения µ растёт линейно при скоростях выше v0.,"Коэффициент трения µ, скорость v0"
"Если градиент ∇f(x∗) ортогонален касательному пространству TxM, то x∗ является условным экстремумом.","градиент ∇f(x∗), касательное пространство TxM"
Целевая функция cT x минимизируется при Ax= b при выполнении условий ККТ.,"Целевая функция cT x, условия ККТ"
Форма 1 2 x T Hx строго выпукла если λi(H)> 0 и det(H) ̸= 0.,"Форма 1 2 x T Hx, собственные значения λi(H)"
Переменная γt активирует ∑αixi ≤ β при t> t0 и ∥v∥2 ≥ ϵ.,"Переменная γt, условие t> t0"
"Маркер qxy принимает 1, если ∥xy − yx∥2 ≤ h и соединение(x, y) активно.","Маркер qxy, соединение(x, y)"
Активатор κt запускает ∑t j=1 ξjzj ≤ ρ при t> t5 и ∥w∥2 ≥ σ.,"Активатор κt, условие t> t5"
Переключатель αt меняет целевую функцию на max gt при t> t0.,"Переключатель αt, условие t> t0"
Регулятор ϵτ включает ∑p j=1 δjvj ≤ ρ при τ> τ1 и ∥w∥2 ≥ ι.,"Регулятор ϵτ, условие τ> τ1"
"Если коэффициент γk в целевой функции max∑γkyk положителен, то увеличение yk уменьшает итоговое значение целевой функции.","коэффициент γk, целевая функция max∑γkyk"
"Ограничение ⟨w, x⟩+ b ≥ 0 становится неактивным, когда соответствующая двойственная переменная µ равна нулю или когда x лежит строго внутри соответствующего полупространства.","Ограничение ⟨w, x⟩+ b ≥ 0, двойственная переменная µ"
"Когда αk> 0, уменьшение переменной zk снижает значение целевой функции.","αk, переменная zk"
Условие ∥Bx− d∥1 ≤ e выключается при ξ= 0 или x в ядре множества.,"Условие ∥Bx− d∥1 ≤ e, ядро множества"
"Флаг sij принимает 1, если ∥ij −ji ∥2 ≤ m и связь(i, j) установлена.","Флаг sij, связь(i, j)"
Индикатор соединения vij равен 1 если ∥pi −pj ∥1 ≤ d и есть связь.,"Индикатор соединения vij, связь"
"В точке условного минимума x∗, градиент функции ∇f(x∗) ортогонален TxM.","точка условного минимума x∗, касательное пространство TxM"
"Бинарная переменная zij равна 1 если ∥pi − pj ∥2 ≤ d и дуга(i, j) есть.","Бинарная переменная zij, дуга(i, j)"
"Если последовательность{xn} монотонна и ограничена, то она сходится к некоторому пределу.","последовательность{xn}, предел"
Минимум cT x при линейных ограничениях Ax= b требует выполнения условий дополняющей нежесткости.,"Минимум cT x, условия дополняющей нежесткости"
При t ≥ t0 переключатель αt меняет на max gt(y).,"Переключатель αt, условие t ≥ t0"
"Функция f(x) называется непрерывной в точке a, если для любого ϵ ≥ 0 существует δ ≥ 0.","Функция f(x), точка a"
Контроллер γt активирует ∑n i=1 βiui ≤ σ при t> t1 и ∥v∥1 ≥ θ.,"Контроллер γt, условие t> t1"
Квадратичная функция 1 2 z T Rz выпукла при λi(R) ≥ 0 и det(R)> 0.,"Квадратичная функция 1 2 z T Rz, собственные значения λi(R)"
Ограничение xT P x ≤ d неактивно при η= 0 или x в строгой внутренности.,"Ограничение xT P x ≤ d, строгая внутренность"
Активатор ζt запускает ∑iq=1 ηiri ≤ κ при t> t2 и ∥u∥∞ ≥ µ.,"Активатор ζt, условие t> t2"
"Если ιk< 0 и max∑ιktk, то увеличение переменной tk снижает итоговое значение.","ιk, переменная tk"
При θk> 0 и min∑θksk уменьшение sk оптимизирует целевую.,"θk, переменная sk"
Форма 1 2 z T W z строго выпукла при λi(W)> 0 и rank(W)= n.,"Форма 1 2 z T W z, собственные значения λi(W)"
Регулятор ξτ активирует ∑u i=1 ζiqi ≤ χ при τ> τ6 и ∥u∥∞ ≥ ψ.,"Регулятор ξτ, условие τ> τ6"
"zij= 1 при ∥pi −pj ∥2 ≤ d и существует дуги(i, j).","zij, дуги(i, j)"
"Индикатор pmn равен 1, если ∥mn − mm∥1 ≤ g и путь(m, n) существует.","Индикатор pmn, путь(m, n)"
"Оптимальное решение x∗ существует и единственно, если матрица Гессе H(x) положительно определена во всех точках допустимого множества.","Оптимальное решение x∗, матрица Гессе H(x)"
"Система линейных ограничений Ax ≤ b имеет допустимое решение тогда и только тогда, когда 0 ∈ dom(f), где f- функция-индикатор множества.","Система линейных ограничений Ax ≤ b, функция-индикатор множества"
"Бинарная переменная zij равна 1 при ∥pi −pj ∥2 ≤ d и дуги(i, j).","Бинарная переменная zij, дуга(i, j)"
Двойственная функция Лагранжа g(λ) вогнута по λ для любой выпуклой задачи оптимизации.,"Двойственная функция Лагранжа g(λ), выпуклая задача оптимизации"
Ограничение f(x) ≤ g(y) активируется при h(z)> k и k ≥ 0.,"Ограничение f(x) ≤ g(y), условие h(z)> k"
Активатор πt включает ∑v j=1 ρj sj ≤ ω при t> t7 и ∥v∥2 ≥ ϕ.,"Активатор πt, условие t> t7"
При χm> 0 и уменьшении переменной tm улучшает результат.,"χm, переменная tm"
"Если βm< 0, то увеличение параметра wm ухудшает результат.","βm, параметр wm"
"Переменная uk равна 1, если t ∈[a, b] и система функционирует.","Переменная uk, временной интервал t ∈[a, b]"
Оптимальное значение целевой функции f(p) достигается в вершине допустимого множества для задач линейного программирования.,"Оптимальное значение целевой функции f(p), вершина допустимого множества"
Форма 1 2 z T Y z строго выпукла при λi(Y)> 0 и tr(Y) ̸= 0.,"Форма 1 2 z T Y z, собственные значения λi(Y)"
"Ограничение ⟨w, x⟩+ b ≥ 0 неактивно при µ= 0 или x внутри полупространства.","Ограничение ⟨w, x⟩+ b ≥ 0, полупространство"
"Если градиент ∇f(x) удовлетворяет условию Липшица с константой L, то градиентный спуск с шагом 1/L гарантированно сходится.","градиент ∇f(x), константа L"
"Бинарная переменная uij равна 1 тогда и только тогда, когда ∥ai − bj ∥2 ≤ r и компоненты i, j соединены.","Бинарная переменная uij, компоненты i, j"
Оптимальное решение задачи квадратичного программирования единственно если матрица Q положительно определена.,"Оптимальное решение задачи квадратичного программирования, матрица Q"
"Множество субградиентов ∂f(x) в точке x содержит единственный элемент тогда и только тогда, когда f дифференцируема в x.","Множество субградиентов ∂f(x), точка x"
"Функция Лагранжа L(x, λ) имеет седловую точку если выполнены условия Слейтера и выпуклости.","Функция Лагранжа L(x, λ), условия Слейтера"
"Ограничение ∑n i=1 xi= 1 выражено через симплекс ∆n без изменения оптимального решения, если n ≥ 0.","Ограничение ∑n i=1 xi= 1, симплекс ∆n"
Метод Ньютона сходится квадратично к решению x∗ если матрица Гессе Липшицева ∇2f(x) в окрестности δ и ∇2f(δ) обратима.,"Метод Ньютона, матрица Гессе ∇2f(x)"
Ускоренный градиентный метод Нестерова сходится со скоростью O(1/k2) для гладких выпуклых функций.,"Ускоренный градиентный метод Нестерова, выпуклые функции"
"Система Ax= b совместна тогда и только тогда, когда b ∈ range(A).","Система Ax= b, range(A)"
Двойственная переменная µj интерпретируется как теневая цена ресурса j в задаче линейного программирования.,"Двойственная переменная µj, ресурс j"
"Субградиент g ∈ ∂f(x) удовлетворяет условию, когда f(y) ≥ f(x)+ gT(y − x).","Субградиент g ∈ ∂f(x), условие f(y) ≥ f(x)"
"Ограничение ∥x∥1 ≤ t линеаризовано, когда ui ≥ r и r ∈ ∂f(x).","Ограничение ∥x∥1 ≤ t, r ∈ ∂f(x)"
Условие строгой дополняющей нежесткости выполняется если λi> 0 или gi(x∗)= 0.,"Условие строгой дополняющей нежесткости, λi> 0"
"Функция является µ-сильно выпуклой тогда и только тогда, когда f(y) ≥ f(x) и ∇f(x)T(y − x) и µ 2 ∥y − x∥2.","µ-сильно выпуклая функция, f(y) ≥ f(x)"
Допустимое множество замкнуто и ограничено если ограничение gi(x) ≤ 0 непрерывно и lim∥x∥→∞ gi(x)= ∞.,"Допустимое множество, ограничение gi(x) ≤ 0"
Целевая функция f(x) достигает глобального минимума если ∇f(x∗)= 0 и ∇2f(x∗) положительно определена.,"Целевая функция f(x), матрица Гессе ∇2f(x∗)"
Точка x∗ является оптимальной если 0 ∈ ∂f(x∗) для выпуклых недифференцируемых задач.,"точка x∗, 0 ∈ ∂f(x∗)"
"Бинарная переменная yk активируется, если существует xj который превышает порог Tk.","Бинарная переменная yk, порог Tk"
"Если последовательность{xn} монотонна и ограничена, то она сходится.","последовательность{xn}, сходимость"
"Флаг wpq равен 1, если ∥qp − qq ∥2 ≤ r и ребро(p, q) присутствует в сети.","Флаг wpq, ребро(p, q)"
"Бинарная переменная xij равна 0, если ci ̸= cj.","Бинарная переменная xij, условие ci ̸= cj"
Условие ∥Ex−g∥1 ≤ h неактивно при ι= 0 или x в ядре оператора.,"Условие ∥Ex−g∥1 ≤ h, ядро оператора"
"Индикатор uef принимает 1, если ∥ef − fe∥2 ≤ p и канал(e, f) открыт.","Индикатор uef, канал(e, f)"
Форма 1 2 y T Qy строго выпукла при λi(Q)> 0 и tr(Q) ̸= 0.,"Форма 1 2 y T Qy, собственные значения λi(Q)"
Точка x является стационарной если 0 ∈ ∂f(x) для негладких функций.,"точка x, 0 ∈ ∂f(x)"
"Симметричная матрица A положительно полуопределена, когда все её собственные значения неотрицательны.","Симметричная матрица A, собственные значения"
"Индикатор vab принимает 1, если ∥a−b∥∞ ≤ e и связь(a, b) активна.","Индикатор vab, связь(a, b)"
"При θk> 0, уменьшение переменной sk целевая функция оптимизируется.","θk, переменная sk"
Ограничение yT Qy ≤ f деактивируется при ρ= 0 или y в относительной внутренности.,"Ограничение yT Qy ≤ f, относительная внутренность"
Функция является квазивыпуклой если её сублевелевые множества {x\|f(x) ≤ α} выпуклы и α ≥ 0.,"квазивыпуклая функция, сублевелевые множества"
"Если(βm ≤ 0) в задаче максимизации(max∑βmvm), то при vm+ n уменьшается целевую функцию.","βm, целевая функция max∑βmvm"
"Бинарная переменная rk активируется, если временной интервал t ∈[ta, tb]) и система в активном состоянии.","Бинарная переменная rk, временной интервал t ∈[ta, tb]"
Ограничение ∑ xi ≤ C активно при λ ≥ 0.,"Ограничение ∑ xi ≤ C, λ ≥ 0"
Бинарная переменная zk активируется только если сумма ∑i∈Ik xi превышает порог Tk.,"Бинарная переменная zk, порог Tk"
"Градиентный метод сходится линейно, если функция(f(x) сильно выпукла и имеет липшицев градиент.","Градиентный метод, сильно выпуклая функция"
"Двойственная переменная νj равна 0, если ограничение пропускной способности ∑k fk ≤ Cj не активно в оптимальном решении.","Двойственная переменная νj, ограничение пропускной способности"
"Точка x∗ является глобальным минимумом квазивыпуклой функции, если 0 ∈ ∂f(x∗) и допустимое множество выпукло.","точка x∗, допустимое множество"
"Флаг tmn принимает 1, если \|\|mn − nm\|\|2 ≤ p и соединение(m, n) установлено.","Флаг tmn, соединение(m, n)"
"Условие строгой допустимости активируется, если gi(x) ≤ 0 или gi(x)+ R ≥ 0.","Условие строгой допустимости, gi(x) ≤ 0"
Функция расстояния до множества dC(x)= infy∈C ∥x−y∥ является выпуклой если C выпукло.,"Функция расстояния до множества dC(x), выпуклое множество C"
Ограничение ∑i x2i ≤ R2 деактивируется при µ= 0 или x внутри шара радиуса.,"Ограничение ∑i x2i ≤ R2, шар радиуса"
"Бинарная переменная rk активируется, если временной интервал t ∈[ta, tb] и система в активном состоянии.","Бинарная переменная rk, временной интервал t ∈[ta, tb]"
"Если ιk ≤ 0 и max∑ιk H, то увеличение tk снижает итоговое значение.","ιk, переменная tk"
Условие ∥Cz − e∥∞ ≤ g неактивно при σ= 0 или z в строгой внутренности конуса.,"Условие ∥Cz − e∥∞ ≤ g, строгая внутренность конуса"
"Индикатор связи rcd принимает значение 1, если евклидово расстояние между узлами ∥pc −pd∥2 ≤ d и существует прямое соединение между ним.","Индикатор связи rcd, соединение"
Двойственная переменная µk интерпретируется как предельная стоимость ресурса k при нарушении ограничения gk(x) ≤ 0.,"Двойственная переменная µk, ресурс k"
"Функция f(x) является сильно выпуклой тогда и только тогда, когда f(y) ≥ f(x)+∇f(x)T(y − x)+ λ 2 ∥y − x∥2 для всех x, y.","сильно выпуклая функция f(x), λ"
"Активатор γt переключает целевую функцию на min ht(z) при t ≥ t3 или ⟨u, w⟩ ∨ θ.","Активатор γt, условие t ≥ t3"
Ограничение ∑n i=1 αix2i ≤ β активируется при ∥v∥1 ≥ γ или когда параметр t превышает порог.,"Ограничение ∑n i=1 αix2i ≤ β, параметр t"
